;Ch1;Ch2;Ch3;Ch4;Ch5;Ch6;Ch7;Ch8;Ch9;Ch10;Ch11;Ch12;Ch13;Ch14;Ch15;Ch16;Ch17;Ch18;Ch19;Ch20;Ch21;Ch22;Ch23;Ch24;Ch25;Ch26;Ch27;Ch28;Ch29;Ch30;Ch31;Ch32
1593689654,6291203;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6331203;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6371202;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6411202;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6451201;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,64912;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,65312;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,65712;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,66112;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,66512;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6691198;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6731198;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6771197;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6811197;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6851196;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6891196;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,6931195;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,6971195;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7011194;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7051194;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7091193;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7131193;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7171192;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7211192;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,725119;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,729119;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,733119;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,737119;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,741119;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7451189;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7491188;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7531188;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7571187;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7611187;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
1593689654,7651186;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035;-8,416558265686035
1593689654,7691185;-8,416558265686035;-8,49885082244873;-8,532230377197266;-8,537313461303711;-8,604674339294434;-8,424351692199707;-8,512779235839844;-8,681392669677734;-8,79709243774414;-8,79475212097168;-8,894416809082031;-8,894784927368164;-8,93921947479248;-8,938735961914062;-9,065640449523926;-9,023408889770508;-9,140233993530273;-9,082430839538574;-8,910829544067383;-9,045281410217285;-8,961220741271973;-8,989852905273438;-8,786396980285645;-8,869236946105957;-8,8472318649292;-8,843052864074707;-8,874232292175293;-8,906572341918945;-8,909026145935059;-8,875362396240234;-8,914143562316895;-8,954727172851562
